food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score,vitamin_a,vitamin_b12
chicken puff,9.0,2.0,2.0,1.0,2.0,protein,3.6,0.0,1.1
chicken quesadilla,14.0,2.5,4.0,2.0,3.0,protein,4.3,0.0,1.1
chicken roll,12.0,2.0,3.0,1.0,2.5,protein,4.0,0.0,1.1
chicken sandwich,12.0,2.0,3.0,1.0,2.5,protein,4.0,0.0,1.1
chicken shawarma,15.0,2.0,3.0,1.0,2.5,protein,4.3,0.0,1.1
chicken soup,6.0,1.5,2.0,1.0,0.5,protein,3.0,30.0,1.1
chicken spring roll,9.0,2.0,3.0,1.0,2.5,protein,3.7,0.0,1.1
chicken steamed momos,10.0,2.0,3.0,1.0,2.0,protein,3.7,0.0,1.1
chicken sukka,27.0,1.5,3.0,1.0,1.0,protein,5.3,0.0,1.1
chicken supreme pizza,18.0,3.0,4.0,2.0,2.5,protein,4.6,50.0,1.1
chicken taco,13.0,2.5,4.0,1.0,2.5,protein,4.1,0.0,1.1
chicken tikka,25.0,1.5,2.0,1.0,0.0,protein,4.9,0.0,1.1
chicken uttapam,10.0,2.0,3.0,1.0,3.0,protein,3.8,0.0,1.1
chicken wrap,14.0,2.0,3.0,1.0,2.5,protein,4.2,0.0,1.1
crab curry,20.0,3.0,2.0,5.0,1.0,protein,4.6,30.0,0.0
crab masala,20.0,3.0,2.0,5.0,1.0,protein,4.6,0.0,0.0
egg,13.0,1.8,0.0,2.0,0.0,protein,3.7,140.0,0.8
egg bhurji,12.0,2.0,2.0,2.0,0.5,protein,3.7,140.0,0.8
egg biryani hyderabadi,8.0,2.0,4.0,1.5,2.5,protein,3.6,140.0,1.1
egg club sandwich,13.0,2.0,2.0,1.5,2.5,protein,4.1,140.0,0.8
egg curry,12.0,2.0,3.0,2.0,1.0,protein,3.7,140.0,1.1
egg curry south indian,12.0,2.0,4.0,2.0,1.5,protein,3.8,140.0,1.1
egg fried rice chinese,7.0,1.8,3.0,1.0,2.0,protein,3.4,140.0,0.8
egg fry,13.0,2.0,0.0,2.0,0.0,protein,3.7,140.0,0.8
egg idiyappam,5.0,1.2,1.0,1.0,1.5,protein,3.1,140.0,0.8
egg masala,11.0,2.0,3.0,2.0,1.5,protein,3.7,140.0,0.8
egg noodles chinese,7.0,1.8,3.0,1.0,2.5,protein,3.4,140.0,0.8
egg puff,7.0,1.8,2.0,1.5,2.0,protein,3.4,140.0,0.8
egg roll,10.0,2.0,2.0,1.5,2.0,protein,3.7,140.0,0.8
egg sandwich,10.0,2.0,2.0,1.5,2.0,protein,3.7,140.0,0.8
egg wrap,12.0,2.0,2.0,1.5,2.0,protein,3.9,140.0,0.8
fish,22.0,1.0,0.0,10.0,0.0,protein,4.6,0.0,1.1
fish curry,20.0,1.2,3.0,8.0,1.0,protein,4.5,30.0,1.1
fish curry kerala,20.0,1.5,3.0,8.0,1.0,protein,4.5,30.0,1.1
fish curry south indian,21.0,1.2,3.0,8.0,1.0,protein,4.6,30.0,1.1
fish fry,23.0,1.2,2.0,5.0,0.0,protein,4.7,0.0,1.1
fish fry kerala,22.0,1.2,2.0,8.0,0.5,protein,4.7,0.0,1.1
fish masala,22.0,1.2,3.0,8.0,1.0,protein,4.7,0.0,1.1
fish tikka,22.0,1.1,2.0,6.0,0.0,protein,4.6,0.0,1.1
grilled chicken,30.0,1.2,0.0,1.0,0.0,protein,5.4,0.0,1.1
kadai paneer,10.0,1.8,8.0,3.0,1.5,protein,3.6,50.0,0.4
keema curry,23.0,2.5,2.0,2.0,1.0,protein,4.9,30.0,0.0
keema fry,24.0,2.5,2.0,2.0,1.0,protein,5.0,0.0,0.0
meen fry,22.0,1.2,2.0,7.0,0.0,protein,4.6,0.0,0.0
mutton,25.0,2.5,0.0,2.0,0.0,protein,4.9,0.0,1.1
mutton biryani hyderabadi,13.0,3.0,3.0,2.0,2.5,protein,4.1,0.0,1.1
mutton bone soup,7.0,2.5,2.0,1.0,0.5,protein,3.2,30.0,1.1
mutton curry,23.0,2.7,2.0,2.0,1.0,protein,4.9,30.0,1.1
mutton curry south indian,25.0,2.5,2.0,2.0,1.0,protein,5.1,30.0,1.1
mutton fry,25.0,2.5,2.0,2.0,0.5,protein,5.0,0.0,1.1
mutton fry south indian,25.0,2.5,2.0,2.0,1.0,protein,5.1,0.0,1.1
mutton rogan josh,24.0,2.5,2.0,2.0,0.5,protein,4.9,0.0,1.1
mutton soup,7.0,2.0,2.0,1.0,0.5,protein,3.1,30.0,1.1
omelette,11.0,1.7,0.0,2.0,0.0,protein,3.5,0.0,0.0
palak paneer,11.0,2.5,15.0,3.5,2.0,protein,3.9,450.0,0.4
paneer bhurji,11.0,2.0,5.0,3.5,1.0,protein,3.6,50.0,0.4
paneer burger,12.0,2.0,3.0,2.0,2.5,protein,4.0,50.0,0.4
paneer burger deluxe,14.0,2.5,4.0,3.0,2.5,protein,4.2,50.0,0.4
paneer butter masala,10.0,1.5,5.0,4.0,1.0,protein,3.5,50.0,0.4
paneer chilli,11.0,2.0,5.0,3.0,2.5,protein,3.9,40.0,0.4
paneer club sandwich,12.0,2.0,4.0,2.0,3.0,protein,4.0,50.0,0.4
paneer curry north indian,13.0,2.0,4.0,3.0,2.5,protein,4.1,50.0,0.4
paneer cutlet,9.0,2.0,6.0,2.0,2.5,protein,3.7,50.0,0.4
paneer fried momos,9.0,2.0,4.0,2.0,2.5,protein,3.7,50.0,0.4
paneer fried rice,8.0,2.0,4.0,2.0,2.5,protein,3.6,50.0,0.4
paneer hot dog,12.0,2.0,4.0,2.0,2.5,protein,4.0,50.0,0.4
paneer kebab,14.0,2.0,3.0,3.0,2.0,protein,4.1,50.0,0.4
paneer manchurian,10.0,2.0,4.0,3.0,2.5,protein,3.8,50.0,0.4
paneer momos,9.0,2.0,2.0,2.0,2.0,protein,3.6,50.0,0.4
paneer pakora,9.0,2.0,2.0,2.0,1.5,protein,3.5,50.0,0.4
paneer paratha,9.0,2.0,3.0,2.0,3.0,protein,3.7,50.0,0.4
paneer pasta,11.0,2.0,4.0,2.0,2.5,protein,3.9,50.0,0.4
paneer pizza,13.0,2.5,4.0,3.0,2.5,protein,4.1,50.0,0.4
paneer quesadilla,13.0,2.5,4.0,3.0,3.0,protein,4.2,50.0,0.4
paneer roll,10.0,2.0,4.0,2.0,3.0,protein,3.8,50.0,0.4
paneer sandwich,10.0,2.0,5.0,2.0,2.5,protein,3.8,50.0,0.4
paneer spring roll,8.0,2.0,4.0,2.0,2.5,protein,3.6,50.0,0.4
paneer steamed momos,9.0,2.0,4.0,2.0,2.0,protein,3.6,50.0,0.4
paneer supreme pizza,15.0,2.5,5.0,3.0,2.5,protein,4.3,50.0,0.4
paneer taco,12.0,2.0,5.0,2.0,3.0,protein,4.1,50.0,0.4
paneer tikka,12.0,1.5,4.0,3.0,1.0,protein,3.7,50.0,0.4
paneer uttapam,8.0,2.0,4.0,2.0,3.0,protein,3.6,50.0,0.4
paneer wrap,12.0,2.0,4.0,2.0,3.0,protein,4.0,50.0,0.4
pepper chicken,26.0,1.5,3.0,1.0,1.0,protein,5.2,0.0,1.1
prawn curry,24.0,2.5,3.0,4.0,0.0,protein,4.8,30.0,1.1
prawn fry,24.0,2.0,2.0,4.0,0.0,protein,4.8,0.0,1.1
prawn fry south indian,24.0,2.0,2.0,4.0,0.5,protein,4.9,0.0,1.1
prawn masala,24.0,2.0,3.0,4.0,1.0,protein,5.0,0.0,1.1
prawn sukka,24.0,2.0,3.0,4.0,1.0,protein,5.0,0.0,1.1
prawns,24.0,2.0,0.0,4.0,0.0,protein,4.8,0.0,1.1
salmon,20.0,0.8,0.0,13.0,0.0,protein,4.4,0.0,0.0
seekh kebab,25.0,2.0,2.0,1.0,0.5,protein,5.0,0.0,0.0
shahi paneer,9.0,1.5,6.0,4.0,1.0,protein,3.4,50.0,0.4
soy chunks,52.0,15.0,0.0,0.0,13.0,protein,10.0,0.0,0.0
tandoori chicken,28.0,1.5,2.0,1.0,0.0,protein,5.2,0.0,1.1
tandoori fish,24.0,1.0,2.0,8.0,0.5,protein,4.9,0.0,1.1
tofu,8.0,2.7,0.0,0.0,1.0,protein,3.3,0.0,0.0
tofu curry,8.0,2.5,4.0,0.0,2.0,protein,3.5,30.0,0.0
tuna,29.0,1.0,0.0,6.0,0.0,protein,5.3,0.0,0.0
aloo gobi,3.0,1.0,15.0,0.0,3.0,vegetable,3.7,30.0,0.0
aloo matar,4.0,1.2,12.0,0.0,3.5,vegetable,3.8,30.0,0.0
aloo tikki,4.0,1.5,5.0,0.0,3.0,vegetable,3.7,30.0,0.0
ash gourd curry,2.0,0.8,6.0,0.0,2.0,vegetable,3.4,30.0,0.0
avial,3.0,1.2,12.0,0.0,3.5,vegetable,3.7,30.0,0.0
baingan bharta,2.5,1.0,8.0,0.0,3.0,vegetable,3.6,30.0,0.0
beetroot,1.6,0.8,4.0,0.0,2.8,vegetable,3.4,30.0,0.0
beetroot soup,3.0,1.5,8.0,0.0,2.5,vegetable,3.6,30.0,0.0
bell pepper green,0.9,0.5,80.0,0.0,1.7,vegetable,3.6,450.0,0.0
bell pepper red,1.0,0.5,127.0,0.0,2.1,vegetable,3.9,40.0,0.0
bell pepper yellow,1.0,0.4,183.0,0.0,1.7,vegetable,4.1,40.0,0.0
bhindi masala,3.0,1.0,10.0,0.0,3.5,vegetable,3.7,30.0,0.0
bitter gourd,1.0,0.4,84.0,0.0,2.6,vegetable,3.7,30.0,0.0
bottle gourd,0.6,0.2,10.0,0.0,1.2,vegetable,3.1,30.0,0.0
brinjal,1.0,0.3,2.0,0.0,3.0,vegetable,3.4,30.0,0.0
broccoli,2.8,0.7,89.0,0.0,2.6,vegetable,4.0,40.0,0.0
cabbage,1.3,0.5,36.0,0.0,2.5,vegetable,3.5,30.0,0.0
cabbage peas curry,3.5,1.5,10.0,0.0,3.5,vegetable,3.8,30.0,0.0
capsicum,1.0,0.4,80.0,0.0,1.5,vegetable,3.5,40.0,0.0
capsicum curry,3.0,1.0,25.0,0.0,2.5,vegetable,3.6,40.0,0.0
carrot,0.9,0.3,6.0,0.0,2.8,vegetable,3.4,700.0,0.0
carrot beans poriyal,3.0,1.2,12.0,0.0,3.0,vegetable,3.7,700.0,0.0
carrot soup,2.5,1.0,12.0,0.0,2.0,vegetable,3.4,700.0,0.0
cauliflower,1.9,0.4,48.0,0.0,2.0,vegetable,3.6,30.0,0.0
cluster beans curry,3.0,1.5,6.0,0.0,4.0,vegetable,3.8,30.0,0.0
colocasia curry,3.5,1.8,6.0,0.0,3.5,vegetable,3.8,30.0,0.0
corn chaat,4.0,1.5,10.0,0.0,3.0,vegetable,3.8,30.0,0.0
corn salad,4.0,1.5,10.0,0.0,3.0,vegetable,3.8,30.0,0.0
cucumber,0.7,0.3,3.0,0.0,0.5,vegetable,3.0,30.0,0.0
cucumber salad,2.0,0.5,5.0,0.0,2.0,vegetable,3.3,30.0,0.0
cutlet,5.0,1.5,6.0,0.0,3.0,vegetable,3.8,30.0,0.0
drumstick,2.1,4.0,141.0,0.0,3.2,vegetable,4.3,30.0,0.0
french beans curry,3.0,1.5,8.0,0.0,3.5,vegetable,3.7,30.0,0.0
french fries,3.0,1.0,10.0,0.0,3.0,vegetable,3.6,30.0,0.0
gobi manchurian,4.0,1.5,10.0,0.0,2.5,vegetable,3.7,30.0,0.0
green beans,1.8,1.0,12.0,0.0,3.4,vegetable,3.6,450.0,0.0
green peas curry,5.5,1.8,10.0,0.0,5.0,vegetable,4.2,450.0,0.0
hot and sour soup,3.5,1.2,10.0,0.0,2.0,vegetable,3.5,30.0,0.0
kootu,4.0,1.5,8.0,0.0,4.0,vegetable,3.9,30.0,0.0
lady finger,2.0,0.6,23.0,0.0,3.2,vegetable,3.6,30.0,0.0
lauki curry,2.0,0.8,6.0,0.0,2.0,vegetable,3.4,30.0,0.0
lettuce,1.4,0.5,9.0,0.0,1.3,vegetable,3.2,30.0,0.0
malai kofta,7.0,1.5,6.0,3.0,2.0,vegetable,3.9,30.0,0.0
manchow soup,4.0,1.5,9.0,0.0,2.5,vegetable,3.7,30.0,0.0
methi curry,3.5,2.0,15.0,0.0,3.5,vegetable,3.8,450.0,0.0
mirchi bajji,3.5,1.2,6.0,0.0,2.0,vegetable,3.5,30.0,0.0
mixed veg curry,4.5,1.8,15.0,0.0,4.0,vegetable,4.0,30.0,0.0
mushroom,3.1,0.5,2.0,2.0,1.0,vegetable,3.3,30.0,0.0
mushroom soup,4.0,1.2,4.0,2.0,2.0,vegetable,3.6,30.0,0.0
olan,2.0,0.8,6.0,0.0,2.0,vegetable,3.4,30.0,0.0
onion,1.1,0.2,7.0,0.0,1.7,vegetable,3.2,30.0,0.0
onion pakora,4.0,1.5,5.0,0.0,2.5,vegetable,3.7,30.0,0.0
pav bhaji,5.0,2.0,15.0,0.0,3.5,vegetable,4.0,30.0,0.0
peas,5.4,1.5,40.0,0.0,5.7,vegetable,4.5,30.0,0.0
poriyal,3.0,1.2,9.0,0.0,3.0,vegetable,3.6,30.0,0.0
potato,2.0,0.8,19.0,0.0,2.2,vegetable,3.5,30.0,0.0
potato wedges,3.0,1.0,12.0,0.0,3.5,vegetable,3.7,30.0,0.0
pumpkin curry,2.5,1.0,9.0,0.0,2.5,vegetable,3.5,700.0,0.0
radish,0.7,0.3,15.0,0.0,1.6,vegetable,3.2,30.0,0.0
ridge gourd,0.7,0.3,15.0,0.0,1.1,vegetable,3.1,30.0,0.0
sarson ka saag,4.0,2.5,25.0,0.0,4.0,vegetable,4.0,450.0,0.0
snake gourd curry,2.0,0.7,5.0,0.0,2.0,vegetable,3.4,30.0,0.0
spinach,2.9,2.7,28.0,0.0,2.2,vegetable,3.6,450.0,0.0
spinach soup,3.5,2.0,20.0,0.0,2.5,vegetable,3.7,450.0,0.0
stuffed capsicum,4.0,1.5,20.0,0.0,3.0,vegetable,3.8,40.0,0.0
sweet corn soup,3.5,1.2,8.0,0.0,2.0,vegetable,3.5,30.0,0.0
sweet potato,1.6,0.6,22.0,0.0,3.0,vegetable,3.5,700.0,0.0
thoran,2.5,1.0,10.0,0.0,3.0,vegetable,3.6,30.0,0.0
tinda curry,2.0,0.7,5.0,0.0,2.0,vegetable,3.4,30.0,0.0
tomato,0.9,0.3,14.0,0.0,1.2,vegetable,3.2,40.0,0.0
tomato onion curry,3.0,1.0,12.0,0.0,2.5,vegetable,3.6,40.0,0.0
tomato onion salad,2.5,0.8,10.0,0.0,2.5,vegetable,3.5,40.0,0.0
tomato soup,2.0,0.8,15.0,0.0,1.5,vegetable,3.3,40.0,0.0
turnip,0.9,0.3,21.0,0.0,1.8,vegetable,3.3,30.0,0.0
veg chettinad curry,5.0,1.8,10.0,0.0,3.5,vegetable,3.9,30.0,0.0
veg chilli,5.0,2.0,8.0,0.0,3.0,vegetable,3.9,40.0,0.0
veg clear soup,2.5,1.0,10.0,0.0,2.0,vegetable,3.4,30.0,0.0
veg curry,4.0,1.5,12.0,0.0,3.0,vegetable,3.8,30.0,0.0
veg cutlet,5.0,2.0,10.0,0.0,3.0,vegetable,3.9,30.0,0.0
veg kebab,8.0,2.5,6.0,0.0,3.0,vegetable,4.2,30.0,0.0
veg kofta,6.0,1.5,8.0,1.0,2.5,vegetable,3.9,30.0,0.0
veg kurma south indian,4.5,1.5,12.0,1.0,3.5,vegetable,3.9,30.0,0.0
veg manchurian,5.0,1.8,12.0,0.0,3.0,vegetable,3.9,30.0,0.0
veg salad indian,3.0,1.0,12.0,0.0,3.0,vegetable,3.7,30.0,0.0
veg soup,3.0,1.0,10.0,0.0,2.0,vegetable,3.5,30.0,0.0
veg stew,3.5,1.2,12.0,0.0,3.0,vegetable,3.7,30.0,0.0
veg stew kerala,4.0,1.2,10.0,0.0,3.0,vegetable,3.7,30.0,0.0
vegetable korma,4.5,1.5,8.0,1.0,3.0,vegetable,3.8,30.0,0.0
yam curry,3.0,1.5,5.0,0.0,3.5,vegetable,3.7,30.0,0.0
zucchini,1.2,0.4,17.0,0.0,1.0,vegetable,3.2,30.0,0.0
ghee rice,4.0,0.5,0.0,0.0,1.0,grain,2.8,45.0,0.2
veg pulao,5.0,1.2,8.0,0.0,2.5,meal,3.6,30.0,0.0
paneer pulao,12.0,1.4,6.0,0.2,2.0,meal,3.8,60.0,0.5
tomato rice,4.2,1.3,12.0,0.0,1.8,meal,3.4,45.0,0.0
chicken fried rice,14.0,1.6,4.0,0.2,1.8,meal,3.7,30.0,0.9
sambar rice,6.5,1.8,9.0,0.0,3.5,meal,4.1,50.0,0.0
bisi bele bath,7.0,2.0,10.0,0.0,3.8,meal,4.2,60.0,0.0
sweet pongal,4.0,2.2,1.0,0.0,1.5,meal,2.8,40.0,0.1
ragi roti,6.5,3.5,2.0,0.0,9.5,grain,4.5,20.0,0.0
jowar roti,8.0,4.1,0.0,0.0,10.0,grain,4.6,0.0,0.0
bajra roti,9.0,6.0,0.0,0.0,11.0,grain,4.8,30.0,0.0
methi thepla,7.5,3.0,8.0,0.0,4.5,grain,4.3,200.0,0.0
fruit salad with ice cream,3.5,0.9,30.0,0.3,2.5,other,3.0,120.0,0.3
pista,20.0,3.9,5.0,0.0,10.0,fruit,4.4,20.0,0.0
cashew,18.0,6.7,0.5,0.0,3.3,fruit,4.3,0.0,0.0
almonds,21.0,3.7,0.0,0.0,12.0,fruit,4.6,0.0,0.0
walnuts,15.0,2.9,1.3,0.0,6.7,fruit,4.5,5.0,0.0
raisins,3.0,1.9,2.3,0.0,3.7,fruit,3.8,0.0,0.0
dry figs,3.3,2.0,1.2,0.0,9.8,fruit,4.2,10.0,0.0
dry apricots,3.4,2.7,1.0,0.0,7.3,fruit,4.3,180.0,0.0
hot badam milk,4.5,0.8,0.5,0.8,0.8,dairy,3.8,60.0,0.5
cold badam milk,4.5,0.8,0.5,0.8,0.8,dairy,3.8,60.0,0.5
kesar badam milk,4.6,0.9,0.6,0.8,0.8,dairy,3.9,70.0,0.5
malai kulfi,6.0,0.2,1.0,0.5,0.0,dairy,2.5,70.0,0.5
pista kulfi,7.0,0.5,1.2,0.5,0.5,dairy,2.7,75.0,0.5
mango kulfi,5.8,0.3,8.0,0.5,0.3,dairy,2.6,110.0,0.5
mango lassi,3.3,0.2,12.0,0.4,0.5,beverage,3.4,120.0,0.4
rose lassi,3.4,0.1,1.0,0.4,0.0,beverage,3.1,45.0,0.4
mango milkshake,3.5,0.3,15.0,0.5,0.8,beverage,3.3,130.0,0.4
strawberry milkshake,3.4,0.3,18.0,0.5,0.7,beverage,3.3,50.0,0.4
banana milkshake,4.2,0.4,6.0,0.5,1.2,beverage,3.6,60.0,0.4
chikoo milkshake,3.6,0.6,4.0,0.5,1.5,beverage,3.5,55.0,0.4
carrot halwa,3.5,1.0,2.5,0.3,1.5,other,2.6,750.0,0.3
spinach curry,3.5,3.2,22.0,0.0,3.0,vegetable,4.4,460.0,0.0
beetroot juice,1.2,1.0,6.0,0.0,2.0,beverage,4.0,20.0,0.0
paneer curry,14.0,1.5,4.0,0.3,1.0,meal,3.9,60.0,0.5
sweet potato fry,1.5,0.7,15.0,0.0,2.8,vegetable,3.3,680.0,0.0
bhindi fry,2.0,1.2,15.0,0.0,3.2,vegetable,3.6,30.0,0.0
punjabi bhindi fry,1.8,1.21,15.0,0.0,3.0,vegetable,3.6,30.5,0.0
south indian bhindi fry,1.9,1.1,15.5,0.0,3.0,vegetable,3.7,29.6,0.0
hyderabadi bhindi fry,1.9,1.15,13.9,0.0,3.1,vegetable,3.6,29.6,0.0
bengali bhindi fry,1.8,1.14,15.0,0.0,3.1,vegetable,3.7,31.9,0.0
maharashtrian bhindi fry,2.0,1.17,16.2,0.0,3.2,vegetable,3.8,31.5,0.0
gujarati bhindi fry,2.0,1.22,15.2,0.0,3.3,vegetable,3.7,31.4,0.0
kerala bhindi fry,2.0,1.21,16.2,0.0,3.4,vegetable,3.7,29.9,0.0
goan bhindi fry,2.1,1.26,14.9,0.0,3.4,vegetable,3.6,30.3,0.0
awadhi bhindi fry,2.1,1.28,13.8,0.0,3.4,vegetable,3.5,27.4,0.0
rajasthani bhindi fry,1.9,1.13,15.8,0.0,3.5,vegetable,3.7,31.9,0.0
punjabi aloo gobi,2.7,1.05,21.7,0.0,2.4,vegetable,3.3,25.9,0.0
south indian aloo gobi,2.7,1.2,18.6,0.0,2.7,vegetable,3.6,24.1,0.0
hyderabadi aloo gobi,2.6,1.13,19.4,0.0,2.5,vegetable,3.5,22.5,0.0
bengali aloo gobi,2.7,1.18,21.2,0.0,2.4,vegetable,3.4,24.3,0.0
maharashtrian aloo gobi,2.7,1.18,18.6,0.0,2.7,vegetable,3.4,27.4,0.0
gujarati aloo gobi,2.7,1.17,19.7,0.0,2.5,vegetable,3.6,27.5,0.0
kerala aloo gobi,2.3,1.09,20.7,0.0,2.4,vegetable,3.6,25.2,0.0
goan aloo gobi,2.3,1.11,21.3,0.0,2.5,vegetable,3.5,24.5,0.0
awadhi aloo gobi,2.5,1.19,18.1,0.0,2.6,vegetable,3.4,24.8,0.0
rajasthani aloo gobi,2.6,1.1,21.5,0.0,2.3,vegetable,3.3,24.2,0.0
punjabi baingan bharta,1.8,0.91,5.5,0.0,3.3,vegetable,3.7,18.8,0.0
south indian baingan bharta,1.7,0.84,5.9,0.0,2.7,vegetable,3.5,18.2,0.0
hyderabadi baingan bharta,1.9,0.98,5.8,0.0,2.7,vegetable,3.8,20.5,0.0
bengali baingan bharta,1.7,0.9,5.7,0.0,2.9,vegetable,3.8,21.1,0.0
maharashtrian baingan bharta,1.8,0.91,5.4,0.0,2.8,vegetable,3.6,20.8,0.0
gujarati baingan bharta,2.0,0.87,5.8,0.0,2.9,vegetable,3.7,20.9,0.0
kerala baingan bharta,1.9,0.95,6.3,0.0,3.3,vegetable,3.8,20.6,0.0
goan baingan bharta,1.8,0.91,5.8,0.0,3.2,vegetable,3.8,21.9,0.0
awadhi baingan bharta,1.9,0.88,5.7,0.0,3.2,vegetable,3.7,20.2,0.0
rajasthani baingan bharta,1.8,0.83,6.2,0.0,2.9,vegetable,3.8,20.0,0.0
punjabi chana masala,7.5,2.77,7.3,0.0,5.5,vegetable,4.2,30.5,0.0
south indian chana masala,7.3,2.74,8.2,0.0,6.0,vegetable,4.3,29.9,0.0
hyderabadi chana masala,7.7,3.06,8.8,0.0,5.0,vegetable,4.5,30.2,0.0
bengali chana masala,7.1,2.57,8.0,0.0,5.5,vegetable,4.3,29.8,0.0
maharashtrian chana masala,8.1,2.97,8.1,0.0,5.1,vegetable,4.2,31.2,0.0
gujarati chana masala,7.7,3.05,8.1,0.0,6.0,vegetable,4.1,29.6,0.0
kerala chana masala,8.2,2.81,7.3,0.0,5.9,vegetable,4.4,29.3,0.0
goan chana masala,7.2,2.95,8.7,0.0,5.2,vegetable,4.1,28.2,0.0
awadhi chana masala,7.3,2.92,8.6,0.0,6.0,vegetable,4.3,30.7,0.0
rajasthani chana masala,7.9,2.97,7.8,0.0,5.4,vegetable,4.1,31.9,0.0
gobi masala,2.3,1.0,25.0,0.0,2.4,vegetable,3.6,25.0,0.0
punjabi gobi masala,2.5,1.03,26.6,0.0,2.4,vegetable,3.5,25.0,0.0
south indian gobi masala,2.5,1.02,26.6,0.0,2.3,vegetable,3.6,26.2,0.0
hyderabadi gobi masala,2.2,1.09,25.8,0.0,2.3,vegetable,3.7,22.9,0.0
bengali gobi masala,2.3,1.02,24.6,0.0,2.6,vegetable,3.5,23.5,0.0
maharashtrian gobi masala,2.3,1.06,25.3,0.0,2.3,vegetable,3.6,24.6,0.0
gujarati gobi masala,2.1,1.09,22.9,0.0,2.3,vegetable,3.6,26.7,0.0
kerala gobi masala,2.4,0.95,24.3,0.0,2.3,vegetable,3.8,24.9,0.0
goan gobi masala,2.2,0.96,26.0,0.0,2.6,vegetable,3.7,27.2,0.0
awadhi gobi masala,2.2,1.07,27.3,0.0,2.2,vegetable,3.5,26.3,0.0
rajasthani gobi masala,2.3,1.1,26.5,0.0,2.5,vegetable,3.5,26.1,0.0
aloo mutter,3.0,1.4,14.0,0.0,3.5,vegetable,3.6,35.0,0.0
punjabi aloo mutter,3.1,1.35,12.8,0.0,3.2,vegetable,3.7,35.1,0.0
south indian aloo mutter,2.8,1.29,14.3,0.0,3.3,vegetable,3.5,38.0,0.0
hyderabadi aloo mutter,3.3,1.45,13.1,0.0,3.2,vegetable,3.7,36.5,0.0
bengali aloo mutter,3.2,1.34,14.0,0.0,3.2,vegetable,3.8,32.8,0.0
maharashtrian aloo mutter,2.8,1.47,15.2,0.0,3.3,vegetable,3.6,36.1,0.0
gujarati aloo mutter,2.8,1.31,15.3,0.0,3.6,vegetable,3.4,33.1,0.0
kerala aloo mutter,2.8,1.33,15.3,0.0,3.8,vegetable,3.5,35.1,0.0
goan aloo mutter,3.0,1.48,13.5,0.0,3.4,vegetable,3.5,33.3,0.0
awadhi aloo mutter,2.7,1.42,14.9,0.0,3.4,vegetable,3.8,31.8,0.0
rajasthani aloo mutter,2.8,1.29,15.2,0.0,3.7,vegetable,3.7,31.8,0.0
mix veg curry,2.5,1.5,18.0,0.0,3.0,vegetable,3.9,120.0,0.0
punjabi mix veg curry,2.5,1.55,18.2,0.0,3.1,vegetable,3.7,118.6,0.0
south indian mix veg curry,2.4,1.64,17.7,0.0,3.2,vegetable,3.7,126.2,0.0
hyderabadi mix veg curry,2.5,1.4,17.9,0.0,2.9,vegetable,3.9,126.1,0.0
bengali mix veg curry,2.3,1.47,19.7,0.0,2.7,vegetable,4.1,108.2,0.0
maharashtrian mix veg curry,2.4,1.55,17.8,0.0,3.2,vegetable,4.1,124.0,0.0
gujarati mix veg curry,2.5,1.55,18.3,0.0,3.0,vegetable,3.8,122.0,0.0
kerala mix veg curry,2.6,1.46,19.7,0.0,2.8,vegetable,4.0,120.9,0.0
goan mix veg curry,2.7,1.39,18.9,0.0,3.0,vegetable,3.7,120.2,0.0
awadhi mix veg curry,2.6,1.59,17.2,0.0,2.9,vegetable,4.1,114.2,0.0
rajasthani mix veg curry,2.7,1.45,18.1,0.0,3.1,vegetable,4.0,124.7,0.0
lauki ki sabji,1.0,0.7,10.0,0.0,1.5,vegetable,3.5,15.0,0.0
punjabi lauki ki sabji,1.0,0.76,9.9,0.0,1.4,vegetable,3.6,14.1,0.0
south indian lauki ki sabji,0.9,0.72,10.1,0.0,1.4,vegetable,3.5,13.5,0.0
hyderabadi lauki ki sabji,0.9,0.63,10.5,0.0,1.4,vegetable,3.5,16.1,0.0
bengali lauki ki sabji,1.0,0.68,10.2,0.0,1.4,vegetable,3.6,15.5,0.0
maharashtrian lauki ki sabji,0.9,0.76,9.5,0.0,1.4,vegetable,3.6,16.4,0.0
gujarati lauki ki sabji,1.0,0.64,11.0,0.0,1.6,vegetable,3.4,14.4,0.0
kerala lauki ki sabji,0.9,0.66,10.2,0.0,1.6,vegetable,3.3,13.7,0.0
goan lauki ki sabji,1.0,0.72,9.6,0.0,1.5,vegetable,3.6,16.2,0.0
awadhi lauki ki sabji,0.9,0.63,10.6,0.0,1.5,vegetable,3.4,15.7,0.0
rajasthani lauki ki sabji,1.0,0.74,9.3,0.0,1.5,vegetable,3.4,16.2,0.0
turai sabji,1.2,0.8,12.0,0.0,1.6,vegetable,3.5,15.0,0.0
punjabi turai sabji,1.3,0.73,11.7,0.0,1.6,vegetable,3.6,14.1,0.0
south indian turai sabji,1.1,0.85,12.8,0.0,1.6,vegetable,3.4,14.7,0.0
hyderabadi turai sabji,1.1,0.81,10.9,0.0,1.5,vegetable,3.6,14.2,0.0
bengali turai sabji,1.2,0.82,11.3,0.0,1.6,vegetable,3.6,14.2,0.0
maharashtrian turai sabji,1.3,0.72,12.6,0.0,1.5,vegetable,3.5,14.3,0.0
